Temperature1,Temperature2,Pressure1,Pressure2,Temperature3,Temperature4,Pressure3,Pressure4,Temperature5,Temperature6,Pressure5,Pressure6
29,38,46,730,27,40,26,506,27,20,36,911
18,19,36,566,20,21,21,824,13,47,41,365
13,33,33,444,26,39,13,432,27,25,43,352
30,49,12,400,30,20,36,667,18,48,48,774
14,49,32,379,18,12,47,425,17,32,36,874
10,47,25,278,11,16,25,626,30,18,42,704
25,20,10,426,27,34,34,567,14,28,21,474
24,38,41,519,21,43,42,827,18,26,43,885
20,11,18,192,15,21,49,925,28,43,48,932
21,26,19,391,15,33,34,202,11,11,47,623
22,28,29,260,30,40,41,367,16,37,20,132
17,13,26,882,18,48,30,173,13,44,12,627
20,27,15,373,20,44,46,865,17,50,38,284
25,17,35,401,30,21,22,683,16,10,30,351
10,38,19,105,12,11,31,294,18,48,40,760
18,16,49,794,20,31,13,819,24,43,37,238
11,20,29,748,19,50,27,987,17,49,13,187
19,32,31,471,29,19,35,989,23,38,20,616
21,11,12,875,11,14,43,545,30,11,36,648
29,50,11,445,21,20,44,712,24,26,20,705
12,44,15,549,19,35,11,947,15,38,19,831
20,47,45,806,30,43,32,850,25,43,31,163
18,38,47,802,29,18,15,515,13,14,10,960
27,41,31,486,22,34,39,552,11,33,33,646
14,31,35,640,12,49,11,590,27,27,30,820
18,34,16,655,19,22,15,891,26,21,22,691
10,20,34,428,18,26,33,357,16,38,20,421
10,43,46,791,28,50,12,259,26,23,50,941
15,40,46,284,21,39,25,491,13,38,50,899
10,50,48,531,28,45,39,435,22,48,26,688
26,40,33,830,20,32,19,125,21,29,29,514
30,38,21,192,29,19,22,553,17,20,43,515
19,33,44,860,28,42,27,978,19,39,24,465
23,50,38,626,19,10,36,987,26,33,24,930
22,21,37,557,27,45,19,486,17,41,19,143
21,18,16,178,23,26,16,749,26,29,38,204
24,26,22,424,25,22,42,538,11,10,47,845
24,43,47,749,23,32,50,176,16,22,11,155
20,26,34,585,29,36,37,800,26,40,33,688
25,34,21,104,14,13,36,414,27,18,22,467
26,23,46,703,25,10,47,848,15,36,13,374
29,26,12,985,27,23,11,622,17,43,25,480
27,27,14,336,30,23,30,572,24,40,40,819
16,31,47,311,10,34,34,692,29,16,30,774
27,10,17,724,20,30,41,196,10,16,33,345
19,45,28,530,11,45,35,777,25,22,10,194
10,43,15,182,12,15,40,103,16,16,26,604
20,23,17,665,30,10,19,940,28,43,44,389
14,27,34,200,18,21,28,849,21,38,13,419
13,15,19,423,17,21,40,442,26,20,34,610
23,25,46,783,29,28,15,943,19,40,27,968
13,30,35,407,13,15,28,902,24,45,14,813
11,28,20,912,26,13,43,551,20,14,19,504
29,13,45,878,16,36,13,216,10,50,32,878
20,34,39,751,20,24,24,985,17,33,48,272
11,47,27,998,13,12,35,791,21,49,47,161
11,29,24,911,14,32,43,579,14,26,30,594
14,44,22,957,16,44,32,670,18,10,50,758
30,30,22,351,23,32,43,258,16,49,23,377
22,40,28,706,17,29,34,854,28,33,14,251
22,12,28,596,17,37,48,781,21,39,48,337
13,21,37,968,11,23,16,733,16,40,47,324
26,48,33,693,18,35,33,734,27,47,46,341
15,28,45,714,29,46,16,980,23,32,10,955
22,25,48,939,13,30,17,877,30,32,10,493
10,50,15,209,28,12,44,988,29,34,50,462
25,11,14,677,11,36,26,629,24,36,38,303
19,47,39,358,26,41,37,478,21,29,47,333
27,24,15,298,21,22,14,274,20,43,38,949
12,45,14,723,30,35,40,277,26,27,42,556
15,41,45,827,19,40,26,104,20,47,35,909
30,34,29,980,28,45,18,146,27,45,34,989
10,15,34,644,18,38,29,337,14,32,45,774
19,31,18,779,27,32,18,364,24,33,11,183
27,20,14,512,23,39,13,283,20,28,40,129
22,12,14,284,27,40,40,228,15,26,16,330
23,47,11,513,19,20,37,859,26,10,18,204
30,31,46,735,28,28,25,224,17,33,31,891
12,29,48,288,20,47,13,846,30,29,20,219
20,24,30,593,17,25,45,559,30,21,12,387
17,44,30,837,26,14,28,303,19,48,12,377
13,47,28,853,18,48,34,123,22,47,33,108
16,47,11,611,17,29,34,547,16,33,13,992
18,47,32,255,12,22,38,550,24,32,32,743
10,37,46,119,26,10,32,352,10,44,47,654
12,40,47,563,19,25,28,859,23,41,46,164
27,11,19,765,17,14,40,733,18,25,31,386
29,22,49,913,13,21,12,740,27,38,25,840
23,21,26,396,15,46,44,528,12,15,31,812
22,14,26,594,26,39,25,540,28,47,16,883
17,42,34,647,13,12,45,596,15,19,36,839
16,25,45,601,29,22,31,885,10,16,34,190
28,22,47,829,28,30,25,877,28,48,35,890
28,28,41,730,24,40,27,273,17,32,30,725
15,27,26,440,14,35,28,554,23,44,21,571
19,25,25,287,17,26,25,641,25,23,14,295
19,46,21,499,19,36,10,262,29,28,15,792
16,40,25,485,16,28,30,317,10,21,22,921
10,10,32,263,17,15,37,538,16,42,46,794
18,14,20,197,30,48,40,815,18,22,44,841
29,39,34,667,24,26,49,103,19,43,17,553
26,11,43,945,29,45,38,813,21,18,37,852
30,19,40,886,11,14,32,508,19,28,21,363
19,24,31,720,16,13,27,242,17,47,36,944
25,33,45,604,12,27,31,687,19,10,35,693
28,32,50,576,17,37,30,578,29,25,29,941
27,49,28,490,21,35,43,804,19,21,20,884
30,14,13,380,26,14,37,816,10,14,41,216
12,25,39,865,27,27,36,213,26,36,31,485
19,47,10,672,21,13,24,685,27,34,43,501
14,46,21,902,17,41,36,219,13,35,13,426
17,38,19,708,28,14,10,140,18,20,42,474
12,47,38,652,20,37,43,921,22,37,50,502
14,27,32,224,10,13,38,226,29,18,41,491
14,37,22,358,28,23,38,392,25,36,39,908
16,16,19,863,30,31,22,872,18,36,43,812
20,50,50,734,12,37,49,721,21,40,36,636
13,26,34,866,29,23,29,874,13,29,15,120
26,33,39,501,26,20,33,430,29,14,25,121
11,12,18,486,16,24,16,168,15,23,31,484
23,19,45,447,25,31,19,869,20,23,39,734
30,20,25,727,29,16,35,465,21,28,48,463
27,10,29,867,29,23,47,478,12,37,35,742
28,32,29,581,30,29,45,664,15,23,28,956
18,16,48,996,24,45,17,113,22,34,27,212
20,39,45,310,24,24,11,788,16,22,22,490
28,35,24,304,16,11,16,568,21,41,24,600
17,25,15,879,11,30,11,736,11,29,27,630
14,41,50,632,20,29,25,286,10,10,19,368
10,15,42,882,11,18,34,517,11,17,44,302
30,42,19,255,14,46,25,188,14,45,49,123
15,12,13,636,19,38,25,783,15,19,31,320
23,11,13,425,13,27,31,457,14,18,26,625
20,14,12,505,25,48,33,190,14,26,31,284
21,37,36,408,29,18,22,882,26,32,14,392
10,18,20,764,29,18,20,437,29,11,21,150
16,42,20,957,28,21,24,547,27,17,37,504
30,19,29,162,18,36,39,715,29,18,45,812
24,29,32,674,29,33,12,990,13,50,38,422
22,47,44,736,17,29,36,130,11,11,19,424
25,16,33,597,23,40,40,269,18,13,32,579
15,15,23,540,10,42,27,123,12,40,39,305
28,17,15,327,16,29,23,151,20,26,12,439
28,19,45,696,29,21,32,981,19,15,49,656
15,41,48,716,10,36,24,744,18,28,39,559
12,29,49,914,16,23,37,831,24,34,31,460
10,17,19,419,22,48,32,451,16,20,37,458
18,35,46,115,18,32,35,445,30,11,33,640
12,30,42,644,28,12,22,543,16,17,37,452
13,37,19,334,12,29,43,739,23,42,40,239
14,43,23,510,24,50,13,150,18,25,36,281
20,36,30,288,17,16,12,500,16,32,12,445
18,36,49,886,30,14,11,716,16,44,35,970
30,23,11,685,10,30,14,244,13,40,31,731
22,18,32,432,17,24,24,313,18,35,30,177
20,33,14,531,10,50,15,734,12,25,39,390
28,32,37,658,11,13,23,422,28,22,23,104
20,46,47,834,16,29,23,887,17,33,18,546
12,38,38,197,15,49,30,782,14,33,18,417
23,27,25,818,14,49,42,983,13,16,29,929
29,17,46,640,29,38,25,995,11,43,37,459
12,40,11,519,19,41,48,982,29,17,23,910
17,47,10,642,13,38,42,591,10,46,14,128
14,33,28,177,22,34,45,947,15,42,35,525
26,28,45,493,15,26,42,975,30,16,27,225
17,41,38,119,17,23,44,909,23,35,48,172
29,28,11,301,12,48,23,511,20,10,45,545
20,27,37,743,25,15,43,431,22,39,46,997
13,38,18,497,12,44,29,303,25,31,19,652
27,39,10,825,25,36,47,118,27,32,48,423
20,45,27,153,30,38,10,943,29,30,22,708
23,19,27,588,13,31,50,651,15,16,13,818
19,39,24,277,22,47,48,844,26,26,39,428
27,47,27,964,27,24,26,771,10,27,15,871
17,35,50,283,11,17,24,431,30,46,34,610
17,33,27,764,17,47,13,276,17,40,50,865
19,24,47,309,19,11,13,675,25,43,37,442
29,12,38,466,18,27,28,662,11,40,36,460
30,37,34,186,23,39,28,342,13,50,44,663
24,10,34,115,22,12,47,134,29,30,38,484
26,21,24,120,18,17,24,961,22,28,27,401
15,48,48,632,17,35,32,759,23,25,31,552
10,25,40,795,13,27,49,889,27,37,10,947
18,46,21,472,29,11,14,883,17,45,18,756
18,36,24,482,28,13,16,112,27,40,30,678
29,47,37,845,17,28,21,926,11,32,36,110
14,33,16,633,29,47,34,603,18,42,12,343
29,16,21,569,10,29,11,928,27,20,26,391
13,44,26,752,15,20,27,190,12,41,26,382
16,28,25,233,26,23,37,672,25,21,29,140
16,32,23,849,27,35,24,459,14,15,47,723
29,14,28,128,20,33,12,118,30,33,21,153
14,17,17,847,11,23,35,696,28,32,46,290
12,43,23,107,25,21,15,831,26,15,20,811
15,37,28,910,14,47,18,993,12,21,46,752
22,20,29,513,26,41,26,815,23,12,40,887
21,16,44,837,26,19,38,993,14,24,28,715
28,36,31,182,27,23,12,480,25,37,34,760
13,37,33,822,12,28,26,188,15,29,34,103
17,42,33,947,29,22,40,342,21,26,16,145
13,21,32,437,15,11,17,602,16,34,15,779
27,17,34,538,10,50,34,940,13,19,17,645
25,16,18,447,12,20,20,190,30,35,20,345
15,13,16,618,20,15,35,529,17,35,33,800
21,24,48,764,13,25,20,837,12,36,22,667
18,50,12,466,17,23,45,226,25,16,21,931
28,16,19,857,25,35,36,963,30,37,11,511
25,45,33,841,14,31,21,735,19,42,40,771
30,42,10,694,27,32,33,104,21,17,36,184
14,10,21,540,17,37,50,191,15,14,34,848
22,50,43,103,29,40,23,847,23,24,26,590
21,15,11,515,14,38,43,688,29,21,39,120
16,47,50,781,24,10,15,930,16,20,48,190
12,16,19,682,29,12,38,851,15,23,34,459
16,21,48,444,27,41,47,559,18,17,43,882
23,40,44,866,17,31,22,588,25,17,33,832
30,28,20,632,28,34,20,520,10,37,18,175
12,37,23,690,11,48,20,762,11,17,40,647
17,26,30,591,20,31,26,547,17,17,49,790
28,42,13,621,14,35,24,765,25,27,35,334
14,44,25,336,17,37,31,768,17,18,42,863
16,45,25,210,12,46,39,525,10,10,42,125
23,33,46,675,25,44,10,769,28,23,26,725
30,32,33,839,23,44,31,996,14,16,27,969
29,13,12,518,11,13,40,367,11,36,42,839
18,12,18,913,21,25,29,994,29,24,14,985
17,32,28,764,11,24,48,686,25,27,34,613
25,35,49,296,10,41,16,616,12,33,24,198
22,24,24,788,28,49,41,658,26,11,11,942
18,45,22,837,25,14,27,113,13,36,47,329
11,28,13,550,30,37,23,147,24,32,48,600
21,21,22,202,20,25,12,223,15,21,33,568
23,33,11,316,14,19,32,475,24,18,43,322
23,27,36,704,11,49,44,989,18,18,20,915
22,30,23,765,19,35,49,576,24,47,30,535
26,38,34,384,11,18,22,419,26,33,36,522
24,47,19,387,23,11,36,640,21,15,16,238
22,10,30,119,20,39,27,843,20,43,18,789
23,23,32,516,24,17,27,853,21,42,42,302
30,22,50,258,17,15,38,404,29,47,13,745
11,44,48,480,22,33,27,150,11,12,41,542
28,12,32,477,18,38,30,147,12,18,22,852
29,11,22,813,16,26,30,979,11,49,50,286
30,24,47,833,15,36,49,881,25,21,22,995
12,46,28,247,10,27,24,981,22,27,48,873
25,22,11,746,25,11,37,583,11,46,36,524
29,14,25,906,17,43,32,220,14,47,13,323
14,45,20,878,16,22,45,143,21,41,38,200
23,44,32,702,11,39,20,992,18,40,38,684
14,10,45,576,23,50,33,509,25,18,31,334
19,45,38,512,30,15,47,529,30,46,23,476
13,38,47,775,19,16,12,498,30,27,19,945
30,12,35,510,27,46,22,619,20,28,25,630
14,50,43,232,17,45,48,800,26,16,18,718
14,22,45,488,27,13,49,657,23,25,44,663
28,26,42,421,28,46,33,443,19,43,50,621
15,10,29,321,26,46,25,197,12,27,24,644
27,46,38,678,28,45,27,435,21,28,30,711
17,23,41,127,11,46,27,507,21,10,48,287
18,43,33,382,14,33,30,113,17,20,15,943
21,32,47,641,22,27,22,109,25,49,21,761
13,22,40,512,24,38,40,825,15,10,44,132
30,40,41,696,30,17,45,148,30,30,27,107
24,18,43,955,13,31,20,882,16,22,41,941
26,32,12,726,26,25,30,965,30,42,48,716
18,16,43,166,16,33,50,932,19,34,19,106
26,35,17,541,29,37,32,124,29,43,40,662
26,48,31,145,11,40,50,169,10,29,43,783
15,28,24,373,20,38,34,594,13,20,39,595
26,38,35,961,24,15,26,675,10,17,19,138
23,13,20,184,15,25,10,504,20,18,32,815
21,37,34,860,16,11,48,726,26,43,19,532
14,33,40,601,11,21,34,886,17,31,26,857
24,21,28,850,13,14,50,571,11,23,40,168
15,16,44,991,23,26,37,592,12,34,29,378
24,31,30,584,20,11,24,440,19,14,17,884
27,39,46,520,10,41,40,472,16,22,42,362
26,27,32,312,21,11,42,496,26,31,15,513
26,46,30,291,10,10,47,621,18,26,49,474
14,50,38,455,25,41,31,639,22,46,40,936
23,23,17,652,28,18,38,546,23,35,49,678
14,20,28,969,17,16,17,793,30,35,28,105
17,11,34,963,18,29,25,449,10,20,16,427
26,33,19,630,10,25,16,509,19,47,33,715
28,38,21,576,25,35,11,863,19,28,41,903
21,37,33,649,21,35,43,990,29,34,39,800
24,15,30,915,21,39,48,646,12,50,32,673
25,11,25,895,30,35,42,986,19,33,32,516
16,49,32,224,17,26,28,802,13,30,39,991
22,13,27,434,23,34,27,346,13,37,16,429
20,25,36,406,17,46,14,741,10,25,49,802
14,30,32,127,18,30,49,582,24,12,21,902
14,22,30,911,15,24,14,102,18,11,19,751
23,20,43,761,16,24,28,880,20,23,33,896
15,22,36,479,27,19,24,339,26,21,28,343
30,32,49,274,11,22,30,142,17,31,50,955
30,21,42,753,26,29,26,141,20,22,34,374
28,48,29,335,21,18,23,844,28,46,37,159
26,36,40,593,25,31,21,313,20,48,14,591
26,49,17,476,22,19,17,200,15,50,18,699
10,48,21,341,17,49,14,751,21,38,15,976
22,27,39,826,12,18,20,345,11,37,21,736
17,20,39,530,24,40,10,564,21,31,33,411
24,39,23,659,20,32,50,603,28,25,34,924
24,40,16,915,12,17,15,977,30,45,19,659
28,35,24,759,18,15,48,972,20,41,13,520
29,38,47,426,22,39,14,839,15,20,31,883
11,46,15,527,21,11,46,272,28,34,48,948
20,27,25,157,11,29,20,187,19,14,43,825
14,21,48,515,18,16,22,698,24,45,48,264
17,49,24,135,13,42,36,473,28,17,45,580
19,45,27,564,23,33,38,135,12,15,13,661
26,48,19,752,24,21,33,689,24,42,25,538
12,15,18,976,29,45,50,730,15,12,10,195
27,36,28,528,19,48,47,754,25,48,33,400
13,28,16,421,14,39,35,994,22,11,21,331
17,28,39,415,20,30,15,778,17,32,19,801
29,11,45,583,13,19,47,543,20,16,47,655
17,31,42,707,16,32,35,880,19,37,36,781
17,49,21,319,22,43,34,166,21,25,44,323
15,44,28,865,18,20,21,244,19,37,29,519
17,35,29,328,26,48,42,700,12,25,28,861
17,25,33,570,15,38,44,523,27,22,18,704
12,24,41,249,15,28,38,674,16,26,43,984
27,22,49,645,12,34,37,694,30,45,32,507
10,47,37,578,26,19,31,398,21,19,44,690
13,44,30,178,20,16,50,317,13,37,30,297
26,20,17,317,20,21,30,811,19,13,36,324
15,24,28,862,29,11,32,598,23,30,25,225
27,16,25,737,16,26,30,932,12,30,20,162
28,14,45,296,12,21,49,747,10,42,47,153
17,29,47,501,20,44,40,642,13,24,50,430
23,21,11,707,18,39,49,746,15,48,37,857
13,47,34,972,23,46,29,715,24,34,11,429
27,15,37,142,25,45,20,645,21,39,43,815
19,35,22,323,17,21,42,808,12,39,31,453
29,24,44,537,11,42,20,174,24,11,41,942
13,18,15,787,19,31,14,726,21,22,47,843
14,24,21,745,15,13,27,100,19,47,12,890
11,36,31,905,13,49,36,754,17,18,43,811
29,40,11,142,13,47,39,768,22,46,38,731
30,36,17,494,23,35,31,843,15,37,35,404
10,22,39,325,15,39,24,237,10,43,41,134
13,50,28,860,13,11,12,228,27,33,50,753
20,13,41,398,29,40,36,480,25,13,42,473
30,35,36,919,12,25,46,322,15,35,29,842
24,16,13,504,13,38,40,930,19,11,28,379
18,41,45,895,14,18,49,541,22,30,43,496
18,37,49,861,15,11,43,475,21,32,41,329
18,17,28,338,29,10,42,487,20,38,17,330
30,19,50,320,28,39,27,520,13,19,28,159
21,28,19,711,16,37,26,818,13,29,12,586
27,15,26,669,22,44,50,198,19,26,47,644
10,49,34,255,17,36,42,472,26,37,33,758
27,49,39,588,13,49,22,768,10,20,43,290
29,23,30,736,19,21,24,443,28,32,42,519
21,41,44,906,20,41,25,443,21,46,22,525
28,17,16,131,20,15,45,754,27,39,15,809
17,21,13,393,27,33,39,448,29,21,19,148
14,15,39,566,16,44,37,281,30,24,43,296
30,42,22,386,26,15,22,177,27,24,18,961
19,27,26,274,23,14,17,339,29,48,32,726
16,44,35,334,28,36,18,648,13,22,32,175
27,14,27,206,16,26,38,921,30,33,12,169
29,23,27,264,16,20,38,665,13,32,14,819
15,50,39,132,11,22,42,497,11,40,25,294
28,45,34,565,22,37,30,279,19,18,26,405
19,11,44,791,22,10,46,627,18,41,28,773
21,21,36,970,18,43,26,459,21,10,23,640
16,38,47,574,21,43,13,164,25,37,15,927
29,25,10,927,15,31,16,266,17,32,39,951
10,49,19,647,27,21,46,106,26,23,29,534
21,15,43,396,28,40,12,955,26,23,35,610
29,41,22,941,28,18,22,875,14,29,19,621
26,40,42,735,17,46,46,552,24,43,44,972
12,28,25,479,24,43,27,285,14,26,30,183
30,23,43,873,12,34,18,163,24,24,45,645
30,18,50,848,27,34,43,976,17,39,47,835
15,33,28,291,18,10,44,114,13,28,14,672
19,23,18,480,15,21,39,186,26,32,32,438
13,31,14,326,17,48,48,217,28,36,24,424
19,23,25,802,16,40,35,245,18,19,32,523
10,42,50,225,26,30,16,352,25,18,11,867
10,41,37,982,23,19,26,676,15,45,24,949
28,22,39,460,10,23,18,367,24,36,46,616
11,46,35,213,23,18,28,215,24,24,25,267
27,11,43,850,25,22,35,610,24,22,28,817
18,38,36,436,27,26,48,240,13,45,45,121
15,13,47,329,17,44,32,504,19,43,32,515
26,18,14,211,15,19,10,740,27,36,46,599
24,12,13,928,21,21,29,820,16,16,22,294
15,48,20,790,14,10,31,361,21,28,33,543
16,17,38,355,11,34,33,504,15,46,13,920
19,11,19,979,14,29,14,179,18,37,29,757
20,39,38,591,23,50,12,694,23,15,30,740
29,50,15,503,15,38,18,920,24,20,43,372
29,11,46,941,28,18,26,600,29,19,21,977
23,46,28,107,15,27,31,408,10,22,37,422
15,40,37,413,14,32,29,750,28,48,14,931
20,49,49,838,26,42,29,996,18,24,36,854
19,37,34,209,29,45,49,466,29,42,32,847
19,25,44,154,30,26,23,224,14,22,11,740
17,28,30,295,28,23,46,939,12,48,46,958
16,23,31,957,29,10,25,216,19,50,18,766
17,11,14,711,14,40,31,838,18,37,29,896
19,50,40,462,16,12,50,234,11,37,29,875
12,13,48,168,17,22,32,705,16,21,16,863
19,22,21,473,27,36,36,873,30,34,42,671
11,15,28,715,22,25,26,406,11,15,34,982
13,42,26,985,15,20,14,747,27,38,19,556
19,21,29,878,10,37,20,557,12,22,46,659
11,31,25,578,29,48,48,463,30,42,33,745
12,35,23,731,22,37,22,903,14,25,49,717
22,37,12,434,26,14,23,690,18,50,47,887
27,37,15,436,28,41,27,603,26,42,11,919
17,19,24,291,26,12,20,538,27,20,27,910
26,44,10,142,18,47,27,533,15,41,50,619
25,24,28,615,26,42,18,312,24,48,33,653
10,29,48,721,28,25,29,104,10,46,29,727
22,42,36,570,21,18,13,438,19,26,17,343
22,10,32,416,25,50,16,275,10,30,26,970
27,11,47,306,24,26,28,211,30,44,19,604
22,12,19,633,16,40,12,960,21,46,15,129
20,19,44,468,12,21,28,586,22,15,17,162
21,43,39,665,19,19,19,732,12,16,22,972
19,31,15,171,23,20,40,661,26,32,27,625
30,47,18,582,21,32,14,786,21,26,20,211
13,19,40,737,25,29,28,169,11,10,50,946
17,25,37,193,29,38,38,429,26,42,28,147
28,27,27,584,20,34,50,127,30,22,11,728
12,31,14,784,11,42,11,949,21,28,18,757
24,19,48,483,25,32,14,346,17,49,48,316
14,19,44,833,15,24,40,797,24,18,14,185
26,36,40,186,14,10,33,703,17,40,24,774
13,30,47,772,30,24,33,278,21,40,41,906
24,45,26,841,21,40,50,564,24,47,41,551
28,40,24,472,22,15,37,691,16,23,45,318
15,47,26,235,27,24,21,574,30,27,47,169
15,14,11,694,21,34,38,986,27,13,50,732
28,41,24,676,14,22,25,439,17,36,35,483
16,42,31,457,20,15,40,246,26,49,46,654
24,12,20,652,26,42,16,119,18,25,19,606
19,42,46,697,26,43,48,548,17,40,43,979
16,20,43,177,14,27,40,346,29,40,11,881
20,26,44,163,14,36,15,662,14,43,47,562
17,30,34,902,18,16,37,984,19,44,43,498
11,30,43,459,14,27,49,135,15,32,47,232
23,13,30,609,10,33,12,233,13,45,18,900
27,32,45,635,30,36,20,904,23,32,25,303
13,37,36,488,28,12,49,897,29,36,20,213
18,40,27,862,23,23,33,843,11,24,24,380
26,34,18,910,25,45,40,403,28,41,20,359
17,49,15,517,26,42,35,684,24,22,43,947
18,27,20,966,22,26,17,695,29,33,19,889
21,39,20,658,29,14,46,537,13,16,47,155
28,45,40,736,27,45,24,780,16,12,45,381
14,35,31,436,10,27,43,913,22,20,41,947
27,37,33,824,14,44,17,540,17,25,45,756
11,38,23,538,27,42,45,652,19,21,29,790
12,35,49,815,26,18,30,535,10,15,22,669
13,19,41,272,29,44,35,911,16,32,32,322
26,10,48,481,22,43,24,638,25,30,40,328
17,14,40,729,12,41,14,793,29,20,15,616
12,43,20,737,23,19,48,596,17,50,13,528
16,49,36,446,19,11,15,593,29,16,38,650
30,41,27,856,21,41,50,771,24,30,43,544
23,23,33,902,14,24,32,886,17,23,49,684
15,49,13,886,18,28,20,981,22,37,17,772
19,42,33,229,26,45,20,146,19,23,36,454
17,34,45,873,26,12,39,238,19,46,38,122
21,32,12,491,21,43,20,370,21,50,22,803
20,39,31,277,28,30,25,698,12,14,40,719
24,36,22,725,12,21,30,200,14,36,30,306
18,19,12,154,19,21,18,728,18,22,42,721
26,50,31,409,22,21,35,536,26,45,50,372
21,43,30,558,18,11,11,185,21,22,47,133
29,31,47,712,23,26,47,597,23,31,45,420
28,42,26,370,30,24,49,139,14,29,12,298
28,18,27,191,25,45,10,104,26,46,39,669
26,37,13,273,12,20,33,629,28,32,40,625
12,30,30,879,12,10,43,827,14,50,20,181
16,34,47,669,10,23,36,688,10,44,22,841
25,25,39,753,13,44,46,871,22,31,49,135
11,19,19,906,25,16,41,353,20,44,34,898
27,17,22,203,22,11,33,777,28,12,44,179
23,27,33,201,22,46,45,696,19,40,10,859
27,38,39,672,18,44,23,457,13,49,43,960
30,30,19,179,25,18,36,922,12,13,39,703
25,25,16,794,22,29,45,912,24,16,14,121
19,29,34,596,27,30,46,528,13,43,18,272
21,12,44,616,14,48,12,680,14,41,30,105
15,18,45,323,15,23,27,510,20,22,29,324
13,21,11,616,11,40,26,362,20,46,30,625
24,21,26,580,28,48,46,100,28,43,46,598
20,17,49,759,24,44,49,679,13,50,24,490
18,30,47,658,20,32,13,347,28,23,47,865
10,45,33,659,22,31,37,875,14,36,49,821
16,15,46,692,14,41,46,906,15,37,20,967
26,31,31,944,27,43,33,574,10,28,27,243
11,29,46,295,30,47,17,362,24,50,49,208
12,22,45,650,19,40,45,860,29,10,27,499
18,22,41,265,25,47,39,921,29,27,45,953
27,28,26,487,22,35,50,386,27,40,23,935
25,38,36,738,23,14,33,533,18,32,31,616
22,30,46,803,28,49,44,767,17,24,38,369
15,22,29,438,14,48,39,776,30,49,40,825
25,21,14,387,28,20,33,202,11,22,32,460
19,16,10,786,12,47,36,348,30,19,11,736
27,32,47,518,12,34,35,927,21,24,21,681
26,36,21,183,28,21,50,141,30,19,27,847
18,12,42,821,10,18,27,656,21,44,15,664
26,16,49,573,10,27,20,462,22,12,18,497
23,20,19,179,22,26,21,853,18,35,19,808
28,43,34,304,11,34,27,919,14,20,22,613
13,27,30,774,14,23,46,864,23,12,10,486
28,35,16,560,13,43,47,406,17,30,10,591
21,49,46,648,21,15,17,263,14,25,21,299
10,36,43,854,21,46,15,948,22,18,50,234
23,41,26,148,15,47,20,322,22,15,43,101
23,24,34,597,16,46,13,407,18,40,25,909
25,18,29,367,15,32,37,673,14,45,28,452
16,46,10,910,15,47,19,110,17,17,43,760
21,24,14,157,25,50,38,933,28,40,28,237
23,30,34,811,17,31,38,130,23,19,36,127
29,38,20,905,23,46,22,643,13,44,20,485
